track_id,song_id,title,title,polarity
TRACCVZ128F4291A8A,SOVLGJY12A8C13FBED,Deep Sea Creature,Deep Sea Creature,
TRACCMH128F428E4CD,SOGDQZK12A8C13F37C,No Quieras Marcharte,No Quieras Marcharte,
TRACCSW128F148C7C3,SODMVJR12A6D4F985D,If I...,If I...,
TRACCXJ128F428F0CF,SOIWBDR12A8C13A4AC,Werther - Lyric Drama in four Acts/Act I/Alors_ c'est bien ici la maison du bailli?,Werther - Lyric Drama in four Acts/Act I/Alors_ c'est bien ici la maison du bailli?,
TRACCVS12903D014F8,SOHCCIA12AC907577F,Ad Te Clamamus Exsvles Mortva Liberi,Ad Te Clamamus Exsvles Mortva Liberi,
TRACCKS128F42B77AE,SOBOAQC12A8C13E3E9,Murder One,Murder One,
TRACCQM12903CACC1E,SOKVLHX12AB0187B39,On My Feet Again,On My Feet Again,
TRACCUS128F92E1FEB,SOMMSMW12A8C13FCCC,Bedroom Acoustics,Bedroom Acoustics,
TRACCJA128F149A144,SODPNJR12A6D4FA52D,Segredo,Segredo,
TRACCGB12903CD1B90,SOFFLLP12AB018ED52,Sajana (Ft Faheem Mazhar),Sajana (Ft Faheem Mazhar),
TRACCXJ128F92E984B,SOZSPTD12A8C143BFD,Theresa,Theresa,
TRACCEJ128F93257ED,SOHWWOM12AB0186627,Story Of An Artist (Don't Be Scared),Story Of An Artist (Don't Be Scared),
TRACCMO12903CA4168,SOZVLXO12AF72ABCDB,D Shuffle Jam (Part 2),D Shuffle Jam (Part 2),
TRACCVN128F92DAE3D,SOVBVJW12AAF3B5F77,Ju Ju,Ju Ju,
TRACCOK128F932AF52,SOINHKC12AB01836E0,When I Was A Cowboy (Western Plains) (LP Version),When I Was A Cowboy (Western Plains) (LP Version),
TRACCLY12903CDD7C4,SODKUVJ12AB0187A4A,I Destructor (Lenny Dee Mix),I Destructor (Lenny Dee Mix),
TRACJJZ12903CCBCDA,SOMJNMD12AB0187F93,No Survivors,No Survivors,
TRACJPW128F932CA4C,SOZNBMX12AB0182AD1,Her Golden Robe In Silence Veiled,Her Golden Robe In Silence Veiled,
TRACJWY12903CB7DBF,SOIRIWN12AB0183AE7,Same Old Song,Same Old Song,
