V0,V1,pol
TRACCVZ128F4291A8A,SOVLGJY12A8C13FBED,0.0
TRACCMH128F428E4CD,SOGDQZK12A8C13F37C,0.0
TRACCSW128F148C7C3,SODMVJR12A6D4F985D,0.0
TRACCXJ128F428F0CF,SOIWBDR12A8C13A4AC,0.0
TRACCVS12903D014F8,SOHCCIA12AC907577F,0.0
TRACCKS128F42B77AE,SOBOAQC12A8C13E3E9,0.0
TRACCQM12903CACC1E,SOKVLHX12AB0187B39,0.0
TRACCUS128F92E1FEB,SOMMSMW12A8C13FCCC,0.0
TRACCJA128F149A144,SODPNJR12A6D4FA52D,0.0
TRACCGB12903CD1B90,SOFFLLP12AB018ED52,0.0
TRACCXJ128F92E984B,SOZSPTD12A8C143BFD,0.0
TRACCEJ128F93257ED,SOHWWOM12AB0186627,0.0
TRACCMO12903CA4168,SOZVLXO12AF72ABCDB,0.0
TRACCVN128F92DAE3D,SOVBVJW12AAF3B5F77,0.0
TRACCOK128F932AF52,SOINHKC12AB01836E0,0.0
TRACCLY12903CDD7C4,SODKUVJ12AB0187A4A,0.0
TRACJJZ12903CCBCDA,SOMJNMD12AB0187F93,0.0
TRACJPW128F932CA4C,SOZNBMX12AB0182AD1,0.0
TRACJWY12903CB7DBF,SOIRIWN12AB0183AE7,0.0
TRACJHJ128F1489FAB,SOESNFW12A6D4F995F,0.0
TRACJVF128F92D2DB3,SOGNFKZ12A8C145224,0.0
TRACJDX12903CD4917,SOSJVGP12AB0185B95,0.0
TRACJKR12903D02C75,SOHHGUG12A6D4F4E77,0.0
TRACJVT12903CB0F49,SOBIPBF12AB0184B0C,0.0
TRACJOQ12903CBBB64,SONUTGA12AB0187F44,0.0
TRACIJF128F424317B,SOIGIUZ12A8C1337B1,0.0
TRACIOB128F4296D0F,SORRQLD12A8C139E8D,0.0
TRACIKJ128F4226ABA,SOHHKOU12A81C224B2,0.0
TRACICJ128F14ADFB8,SOWUAYB12A6D4FA1D4,0.0
TRACIIS128F425DF68,SOYTQGO12A8C138C1B,0.0
TRACIEF128F4270573,SOOOBCE12A8C134019,0.0
TRACILD128F930AF53,SOROLCY12AB0182652,0.0
TRACISV12903D13877,SOWBEBK12AB018306A,0.0
TRACIIZ128EF34E497,SOLIAYU12A6D4F9923,0.0
TRACHAL128F427DD25,SOOBRTK12A8C13D6A9,0.0
TRACHZE12903CD95D2,SONROBV12AB0188BC7,0.0
TRACHOZ12903CCA8B3,SOLWBGS12AB0187EAD,0.0
TRACHTO12903CBE58B,SOOCWAO12AB01852C1,0.0
TRACHKX128F934B07A,SOJDJRK12AB018565D,0.0
TRACHHO12903CF8CCA,SOYNXWG12AC468F51A,0.0
TRACHYC12903CEAAB6,SOQYKBE12AC46867EE,0.0
TRACHTD128F92EE238,SOHWKQE12A8C142406,0.0
TRACHHH128E0788A35,SOUYTJK12A6701CD3D,0.0
TRACHFO12903CB3009,SOYVONC12AB0187167,0.0
TRACHYA128F931BF87,SOQYLQN12AB01801B8,0.0
TRACHSH12903CEBC2C,SOCXXWR12AC468929B,0.0
TRACXJP128F92E3693,SOHLKRL12A8C141B63,0.0
TRACXHQ12903D11ED1,SOAZTBX12AC4689A69,0.0
TRACXIQ128F92E25AB,SOFEAJC12A58A7F3AA,0.0
TRACXIF128F425E206,SORZPFY12A8C137448,0.0
TRACXOY128F934CEDC,SORRXOY12AB0183759,0.0
TRACXYU128F425EEE8,SOADDVU12A8AE47512,0.0
TRACXTK128F92CC024,SOJMOIF12A8C14397B,0.0
TRACXGH128F931686C,SOFPQSC12A58A7B165,0.0
TRACXHN12903CD2B4C,SOPIDCK12AB018DAF8,0.0
TRACXRL128F9317EAE,SOAPUWG12AB017DE50,0.0
TRACXDB12903CA4432,SOMOINR12AB0189188,0.0
TRACXUW128F93093F5,SOBAMRQ12A8C141DF3,0.0
TRACXQB128F42A7FA1,SODYMWS12A8C141577,0.0
TRACXGV128F9349C63,SOKNAQC12A58A7EE5C,0.0
TRACOVO128F1470021,SOBHGWG12A6D4F50D2,0.0
TRACOSS12903CE4724,SOVZIXG12AC3DF5331,0.0
TRACOGY128F92FE95C,SOUGZYV12A8C143A6F,0.0
TRACONJ128F4272091,SOHLFWF12A58A7989F,-0.030130853994490364
TRACOUL128F425BDE0,SORERTC12A8AE454B3,0.0
TRACOSY128F92F12B7,SODMROC12A8C1443E7,0.0
TRACOAF128F145D996,SOBHRIK12A6D4F6E75,0.0
TRACOTY128F930BCFA,SOCYTFB12AB017F7CE,0.0
TRACOBC128F4266853,SOVWNAS12A8C130573,0.0
TRACOIZ128F933E368,SOCSZYG12AB01871C2,0.0
TRACOHQ128F424C5EF,SOATHUP12A8C131DC3,0.0
TRACOLN12903CCAF8B,SOESWTI12AB0184D39,0.0
TRACOTC128F1455F32,SOSFVEI12A6D4F7C84,0.0
TRACMKA12903CB078D,SONOQCH12A6D4FE0EE,0.0
TRACMXG12903CA2541,SOHPFNX12AB018A5FE,-0.030130853994490364
TRACMJP128F9349362,SOJDTBL12AB0188BF6,0.0
TRACMYR128F425EE37,SODKPPT12A8AE46A99,0.0
TRACMMG128F146D705,SOPNFTX12A67020455,0.0
TRACMCG128F92CE225,SOIWZZD12A8C14505C,0.0
TRACMAD128F429742B,SOWBRZR12A58A7B5D2,0.0
TRACMJZ128F92FD86B,SOPOTLV12AB017C1F7,0.0
TRACMZA128F423DD3E,SOBRVRZ12A8C132DE5,0.0
TRACMVZ128F429AE0E,SOWTBIV12A8C13B607,0.0
TRACMIV128F14898A3,SOKWXEW12A6D4F7F9E,0.20694063676969693
TRACMPZ12903CF150B,SOFLCWE12AC468C2B2,0.0
TRACMHD128F931FB14,SOZSSJQ12AB01852D1,0.0
TRACMSI128E078E15F,SOEJFMF12A670209F0,0.0
TRACMLI128F424C865,SOGVRQG12A58A7E69B,0.0
TRACMIU128F935381D,SOKQYBC12AB0183C87,0.0
TRACMHS128F148F509,SOBHDHC12A6D4FA2A4,0.0
TRACMTI128EF342A56,SONKDJU12A67FFB313,0.0
TRACMFN128F4298DBE,SODWSGW12A58A7D4B8,0.0
TRACMTN128F92FB689,SOJTSAW12A58A7B6C2,0.0
TRACMCM12903CB60DA,SOTJODQ12AB018561C,-0.3125
TRACMOL128F424B776,SOAONEP12A58A7D2B3,0.0
TRACRRO128F92F34B9,SOAXQTX12AB017F467,0.0
TRACROV128F92F6D6F,SOPJBSM12AB0182B14,0.0
TRACRBQ128F4263964,SOICEAK12A6D4F4819,0.0
TRACRHZ12903CAF6A4,SOWHIHY12AB018B64A,0.0
TRACRJZ128F4244626,SOLLWEJ12A8C132B05,0.0
TRACRNT128F426FA27,SORBVIZ12A8C13A4BA,0.0
TRACRQV12903CC995F,SONCPQC12A58A7D3A7,0.0
TRACRVJ128F14661D6,SONAJJE12A6D4F49A0,0.0
TRACRTS128F9300F7E,SOTUGCE12AB0181409,0.0
TRACRON12903CB59E6,SOHKEPR12AB018C9C9,0.0
TRACRAR128F92F3B74,SOGKVQY12AAF3B28D7,0.0
TRACYMH12903CA01DF,SOADKNO12AB0182BC7,0.0
TRACYCJ128F9309246,SOQIDEF12A8C139B23,0.0
TRACYDP128F932BC8E,SOVBYLF12AB017EBAC,0.0
TRACYOV128F92CB613,SOIBAKV12A8C142CE7,0.0
TRACYMT128F933333D,SOTEWGK12AB0185C5A,0.0
TRACYBU128F14AE4DD,SOIUODF12A6D4F9C3E,0.0
TRACYPF128F9338DE0,SOGINAY12A8C138666,0.0
TRACYTM128F933A555,SOETIGS12AB0186644,0.0
TRACYND128F423E23D,SOCVTPO12A8C13414F,0.0
TRACYDQ128F932C763,SOLBDEY12AC9E12684,0.0
TRACYHQ12903CCE804,SOLBDAS12AB018BB6E,0.0
TRACYXW128F4297569,SOHWVJJ12AB0185F6D,0.0
TRACYOR128F427FB1D,SOVQWTQ12A8C13D988,0.0
TRACAXR128F92FAB1C,SOHZNER12AAFF43D08,0.0
TRACAUP128F931AC60,SOBDHIZ12AB0182E18,0.0
TRACAOS128F42300B8,SONNDRB12A8AE46705,0.0
TRACADA128F92EFB0E,SOGDLDE12AB017A28E,0.0
TRACAFR12903CD6701,SOZAFEC12AB018C519,0.0
TRACAYI128F4235122,SODTDRC12A81C22C7C,0.0
TRACALZ12903CDCFBB,SOZTDIN12AB018AAD1,0.0
TRACAPS128F92F014C,SOVOYJL12A8C142B2A,0.0
TRACARQ128F933B5CD,SOJCOPL12AB01886A1,0.7158402014764814
TRACAKD128F92D5D38,SOYMPFK12A8C141D1A,0.0
TRACAMB12903CE12F4,SOGSBKB12AC9097E0F,0.0
TRACAMK128F4265F0D,SOCOTRH12A8C13840D,0.0
TRACAXH128F931F3CF,SOGIAKH12AB0184D05,0.0
TRACACF128F4261F09,SOWRILA12A8C1360D0,0.0
TRACABS128E0786B0B,SOQFWIS12A58A7BD61,0.0
TRACASH128F931C969,SONFOLB12AB01841B9,0.0
TRACAXP128F14A2127,SOSBJHW12A6D4FAAB2,0.0
TRACAQW128F428E2B7,SOUDSJF12A8C13C36D,0.0
TRACAMS128F9307856,SOIEJUL12AB0181C12,0.0
TRACBVI12903D0C406,SOAGCNO12AB0187A1A,0.0
TRACBJT128F93135DF,SOJUTCU12AB017EDB4,0.0
TRACBQQ128F4263AEB,SOBPHTZ12A8C134095,0.0
TRACBWX128F92FD725,SOEIIYR12AB01825B8,0.0
TRACBMH128F93291A4,SOTNLBM12AB0185DD2,0.0
TRACBEI128F42558D3,SODUNOD12A58A79381,0.0
TRACBBV12903CB9BF8,SOKBBBJ12AB018A3BF,0.0
TRACBWQ128F92F2B91,SOFPGXP12A58A78AAB,0.0
TRACBRM128F425C2C3,SOULLZX12A8C13491F,0.0
TRACBLO128E0784286,SOHOXXV12A6701BEBF,0.0
TRACBOR128F422CFE4,SONPVKR12A58A7BA4A,0.0
TRACBWP128C7196948,SOYSRRY12A6310E1C1,0.0
TRACBSI128F428CC57,SOAHRFR12A8C142155,0.0
TRACBBI12903CB8387,SOJUZCX12AB0181D3E,0.0
TRACNDP12903CDA658,SOOQACI12AB0188EC8,0.0
TRACNVF128F428EA87,SONRARH12A8C139DCC,0.0
TRACNZU12903CACFCF,SOOOJUT12AB01883B9,0.0
TRACNNR128F4270A66,SOMEHWS12A8C13727B,0.0
TRACNBG128F425B49E,SOFLDUO12A8C137BC0,0.0
TRACNJR128F4262E27,SOUUCMM12A8C1362C3,0.0
TRACNXS128F93395BA,SORYSJU12A8C144CFA,0.0
TRACNYM12903CDF543,SOFUBUF12AC3DF98FF,0.0
TRACNBU128F930EDBB,SOFKOUI12A58A7F55C,0.0
TRACNXU12903C9CDFF,SOPZMUP12AB018C070,0.0
TRACNAS128F14567C6,SOLFDCM12A6D4F7A7C,0.0
TRACNPT128F92FBE31,SOZKGKZ12AB017E527,0.0
TRACSXC12903CF9525,SOEKZPU12AC3DF6093,0.0
TRACSFC12903CEAF33,SOTNBRQ12AC4687F85,0.0
TRACSND128F426983F,SOYHTLZ12A8C1399F7,0.0
TRACSVW128F14ACB60,SOSHQVN12A6D4F9B21,0.0
TRACSTF128F4238A87,SOFKTVC12A81C20A23,0.0
TRACSBL128F42480E8,SOAECHX12A6D4FC3D9,0.0
TRACSIE128F427F98E,SOTQGQR12CF5CFD61E,0.0
TRACFJE128F934C8D5,SONIVCV12AB017FEED,0.0
TRACFZI128E0795424,SOCTJIL12A67ADAF3F,0.0
