"","V1","V2","V3","V4"
"1",1926,"TRBHUOU128F423625E","Blind Lemon Jefferson","Long Lonesome Blues"
"2",1926,"TRBFMCN128F423625D","Blind Lemon Jefferson","Got The Blues"
"3",1927,"TRAUSMF12903CE71E5","Blind Lemon Jefferson","Wartime Blues"
"4",1927,"TRAGJGZ128F421EE19","Blind Willie McTell","Writing Paper Blues"
"5",1927,"TRACBWQ128F92F2B91","Ma Rainey","Ma Rainey's Black Bottom"
"6",1929,"TRAYUWU128F423F66D","Charley Patton","Mississippi Boweavil Blues"
"7",1930,"TRACMPZ12903CF150B","Charley Patton","Moon Going Down"
"8",1930,"TRAFMDA128F4224347","Sleepy John Estes","Street Car Blues"
"9",1934,"TRAPTGG128F9326020","Charlie Patton","34 Blues"
"10",1935,"TRAUCPI128F4224350","Sleepy John Estes","Stop That Thing"
"11",1935,"TRBGPAX12903CEC037","Sleepy John Estes","Down South Blues"
"12",1936,"TRAMWSA128F9359719","Red Foley","Old Shep"
"13",1940,"TRAHYFB128F4280BB8","Bukka White","Fixin' To Die Blues"
"14",1940,"TRBAKJC128F93399FB","Bukka White","Sleepy Man Blues"
"15",1947,"TRAYRXY128F1494819","Tex Williams","Smoke! Smoke! Smoke! (That Cigarette)"
"16",1947,"TRAFSGJ12903CAA742","Tex Williams","Smoke! Smoke! Smoke! (That Cigarette)"
"17",1950,"TRAVEOQ128F931C8F4","Percy Mayfield","Please Send Me Someone To Love"
"18",1953,"TRAPRRP12903CD97E9","Big Mama Thornton with Kansas Bill and his Orchestra","Hound Dog"
"19",1953,"TRAOFJS12903CF3F3D","Georges Brassens","Comme hier"
"20",1953,"TRAOMMU128F933878B","Guitar Slim","The Things That I Used To Do"
"21",1953,"TRALNDQ128F930DB3A","Percy Faith And His Orchestra","The Song From Moulin Rouge"
"22",1954,"TRADDWO128F9305E06","J. B. Lenoir","I'm in Korea"
"23",1955,"TRAJBRT128F9303318","Toots Thielemans","Sophisticated Lady"
"24",1956,"TRBFNLX128F4249752","B.B. King","Please Love Me"
"25",1956,"TRAXPEN128F933F4DC","B.B.King","Please Love Me"
"26",1956,"TRAFMNM128F4251008","Cal Tjader","Manuel's Mambo"
