track_id,song_id,title,title,polarity,artist_id,artist_name
TRACCVZ128F4291A8A,SOVLGJY12A8C13FBED,Deep Sea Creature,Deep Sea Creature,-,ARMQHX71187B9890D3,Mastodon
TRACCMH128F428E4CD,SOGDQZK12A8C13F37C,No Quieras Marcharte,No Quieras Marcharte,-,AR2PT4M1187FB55B1A,Los Chichos
TRACCSW128F148C7C3,SODMVJR12A6D4F985D,If I...,If I...,-,ARDI88R1187B98DAB2,Foxy Brown
TRACCXJ128F428F0CF,SOIWBDR12A8C13A4AC,Werther - Lyric Drama in four Acts/Act I/Alors_ c'est bien ici la maison du bailli?,Werther - Lyric Drama in four Acts/Act I/Alors_ c'est bien ici la maison du bailli?,+,ARUKJUP12086C14589,Ramón Vargas e Vladimir Jurowski
TRACCVS12903D014F8,SOHCCIA12AC907577F,Ad Te Clamamus Exsvles Mortva Liberi,Ad Te Clamamus Exsvles Mortva Liberi,+,ARZEWUR1187FB53DC8,Enthroned
TRACCKS128F42B77AE,SOBOAQC12A8C13E3E9,Murder One,Murder One,-,ARUZRFN1187B98AC05,Bone Thugs-N-Harmony
TRACCQM12903CACC1E,SOKVLHX12AB0187B39,On My Feet Again,On My Feet Again,-,ARHBWOZ1187FB3FD53,Utopia
TRACCUS128F92E1FEB,SOMMSMW12A8C13FCCC,Bedroom Acoustics,Bedroom Acoustics,+,ARR3ONV1187B9A2F59,Muse
TRACCJA128F149A144,SODPNJR12A6D4FA52D,Segredo,Segredo,+,AR3THYK1187B999F1F,João Gilberto
TRACCGB12903CD1B90,SOFFLLP12AB018ED52,Sajana (Ft Faheem Mazhar),Sajana (Ft Faheem Mazhar),+,ARFELOH1187B991F95,Niraj Chag
TRACCXJ128F92E984B,SOZSPTD12A8C143BFD,Theresa,Theresa,+,ARO0EUG1187B9AC250,Portable
TRACCEJ128F93257ED,SOHWWOM12AB0186627,Story Of An Artist (Don't Be Scared),Story Of An Artist (Don't Be Scared),+,AR6CLFP1187B9ACB94,Daniel Johnston
TRACCMO12903CA4168,SOZVLXO12AF72ABCDB,D Shuffle Jam (Part 2),D Shuffle Jam (Part 2),+,AR6WICD1187B998708,Christian McBride
TRACCVN128F92DAE3D,SOVBVJW12AAF3B5F77,Ju Ju,Ju Ju,+,ARMFOCL119B8668919,String Trio Of New York
TRACCOK128F932AF52,SOINHKC12AB01836E0,When I Was A Cowboy (Western Plains) (LP Version),When I Was A Cowboy (Western Plains) (LP Version),+,AR3GYKU1187B996AB9,Jim Kweskin
TRACCLY12903CDD7C4,SODKUVJ12AB0187A4A,I Destructor (Lenny Dee Mix),I Destructor (Lenny Dee Mix),-,ARDOOH01187B991055,Ultraviolence
TRACJJZ12903CCBCDA,SOMJNMD12AB0187F93,No Survivors,No Survivors,-,ARVUAJC1187B9908A5,Speedball
TRACJPW128F932CA4C,SOZNBMX12AB0182AD1,Her Golden Robe In Silence Veiled,Her Golden Robe In Silence Veiled,-,ARM63WJ1187B9951EA,Autumnblaze
TRACJWY12903CB7DBF,SOIRIWN12AB0183AE7,Same Old Song,Same Old Song,-,ARBQPXY1187B98D67B,Kris Kristofferson
TRACJHJ128F1489FAB,SOESNFW12A6D4F995F,The Ride (Album),The Ride (Album),+,ARPVFV91187B98BB94,Cinder
TRACJVF128F92D2DB3,SOGNFKZ12A8C145224,Two Little Fishes_ Five Loaves Of Bread,Two Little Fishes_ Five Loaves Of Bread,+,AR6TD9K1187B9A207D,Sister Rosetta Tharpe
